,G,AB,SO,SF,HBP,IBB,SH,BB,H,SB,RBI,HR,2B,3B,RunRating
archeji01,847,2646,241,0,19,0,93,124,660,36,296,16,106,34,1
archige01,121,421,47,0,1,0,2,37,115,10,53,3,24,4,0
arciajo01,293,615,107,0,9,1,9,29,132,17,35,1,24,6,0
arciaos01,219,781,259,2,12,8,0,58,190,2,108,36,33,5,0
ardnejo01,110,415,64,0,2,0,0,18,88,9,39,0,14,2,0
ardoida01,165,423,124,2,13,4,8,42,87,2,35,8,17,1,0
arenano01,401,1534,240,18,9,15,3,82,431,6,243,70,106,10,1
arencjp01,467,1573,484,11,17,4,1,85,333,2,245,80,67,4,1
arftha01,300,906,133,0,2,0,11,137,229,8,118,13,46,13,1
ariasal01,775,1773,211,16,23,14,17,181,470,10,196,18,84,6,1
ariasge01,173,480,121,0,2,2,6,25,114,2,55,14,18,2,0
ariasjo01,474,1052,150,9,8,7,12,37,279,13,95,7,46,11,1
arletbu01,121,418,39,0,5,0,1,45,131,3,72,18,26,7,0
arlinst01,141,230,74,1,2,0,13,15,32,0,11,0,3,2,0
